id;name;address;zip;city_hotel;cc1;ufi;class;currencycode;minrate;maxrate;preferred;nr_rooms;public_ranking;hotel_url;city_unique;city_preferred;review_score;review_nr;;;;;;;;;;;;;;;;;
2019079;Congress Apartments;31-41 , Eastbourne Carlisle Road;BN21 4JS;Eastbourne;gb;-2595114;4;GBP;36;;;25;1;http://www.mishoteles.com/hotel/gb/congress-apartments.html;eastbourne;Eastbourne;1;1;;;;;;;;;;;;;;;;;
1956536;Le Coin Tranquille;fond de cour 17 rue des trois piliers;51100;Reims;fr;-1461340;0;EUR;65;;;1;1;http://www.mishoteles.com/hotel/fr/le-coin-tranquille-reims.html;reims;Reims;1;1;;;;;;;;;;;;;;;;;
1973274;Diocletian Apartment;26 Virjanska Ulica 3rd floor;10000;Zagreb;hr;-101579;3;EUR;59;;;1;1;http://www.mishoteles.com/hotel/hr/diocletian-apartment.html;zagreb;Zagreb;1;1;;;;;;;;;;;;;;;;;
1979415;Gîte Les Lilas;13 Impasse des Jardins;62190;Lillers;fr;-1447083;0;EUR;60;;;2;1;http://www.mishoteles.com/hotel/fr/gite-les-lilas.html;lillers;Lillers;1;1;;;;;;;;;;;;;;;;;
2023909;Apartment Karashaeva 9;Ул.Карашаева  д.9 кв.42;360000;Nalchik;ru;-2962666;0;RUB;1800;;;1;1;http://www.mishoteles.com/hotel/ru/apartment-on-karashaeva-st-9.html;nalchik;Nalchik;1;1;;;;;;;;;;;;;;;;;
2010803;Fewo 13 Villa Sanddorn;An der Waterkant 03;18211;Börgerende-Rethwisch;de;25695;0;EUR;65;;;1;1;http://www.mishoteles.com/hotel/de/fewo-13-villa-sanddorn.html;borgerende-rethwisch;Börgerende-Rethwisch;1;1;;;;;;;;;;;;;;;;;
1987646;RomeTown;Via dei Savorelli, 103;165;Roma;it;-126693;0;EUR;45;;;4;1;http://www.mishoteles.com/hotel/it/rometown.html;rome;Roma;1;1;;;;;;;;;;;;;;;;;
1986550;No.5 - Ferienwohnung Schkade;Dorfstraße 5;1814;Kleingiesshubel;de;-1807937;0;EUR;75;;;1;1;http://www.mishoteles.com/hotel/de/no-5-ferienwohnung-schkade.html;kleingiesshubel;Kleingießhübel;1;1;;;;;;;;;;;;;;;;;
1982921;4 Seasons;Мира 42а, Закарпатская обл., Рахівський р-н.;90630;Yasinya;ua;-1059501;0;UAH;600;;;5;1;http://www.mishoteles.com/hotel/ua/4-seasons.html;yasinya;Yasinya;1;1;;;;;;;;;;;;;;;;;
1957573;Liberty House;Viale IV Novembre 19,;49;Velletri;it;-131976;0;EUR;80;;;1;1;http://www.mishoteles.com/hotel/it/liberty-house-velletri.html;velletri;Velletri;1;1;;;;;;;;;;;;;;;;;
1974491;Holiday Home Källstången;;47130;Skärhamn;se;-2519657;0;SEK;;;;1;1;http://www.mishoteles.com/hotel/se/holiday-home-kallstangen.html;skarhamn;Skärhamn;1;1;;;;;;;;;;;;;;;;;
1980459;Casa Ai Confini Del Bosco;Via Rusio 27;24020;Castione della Presolana;it;-114753;0;EUR;;;;1;1;http://www.mishoteles.com/hotel/it/casa-ai-confini-del-bosco.html;castione-della-presolana;Castione della Presolana;1;1;;;;;;;;;;;;;;;;;
1976485;Holiday Home Banedæmningen;;6094;Hejls;dk;-2743503;0;DKK;536.3333333333;;;1;1;http://www.mishoteles.com/hotel/dk/holiday-home-banedaemningen.html;hejls;Hejls;1;1;;;;;;;;;;;;;;;;;
1976382;Holiday Home Sandmarken III;;9800;Hjørring;dk;-2745895;0;DKK;723;;;1;1;http://www.mishoteles.com/hotel/dk/holiday-home-sandmarken-iii.html;kaersgard-strand;Kærsgård Strand;1;1;;;;;;;;;;;;;;;;;
1931041;Essenziale Barocco;Via Ausonia 33;90144;Palermo;it;-123798;0;EUR;41.25;;;1;1;http://www.mishoteles.com/hotel/it/essenziale-barocco.html;palermo;Palermo;1;1;;;;;;;;;;;;;;;;;
1939892;Beach and Sun;Via Del Laghetto 8;97015;Marina di Modica;it;900049359;0;EUR;50;;;1;1;http://www.mishoteles.com/hotel/it/beach-and-sun.html;marina-di-modica;Marina di Modica;1;1;;;;;;;;;;;;;;;;;
1940207;Villa Praialonga;Località Barcovercillo, sn;88835;Le Castella;it;-119917;0;EUR;100;;;5;1;http://www.mishoteles.com/hotel/it/villa-praialonga.html;le-castella;Le Castella;1;1;;;;;;;;;;;;;;;;;
2008473;Il filo di paglia;Contrada Targena 54;97013;Comiso;it;-116047;0;EUR;30;;;1;1;http://www.mishoteles.com/hotel/it/il-filo-di-paglia.html;comiso;Comiso;1;1;;;;;;;;;;;;;;;;;
1980419;Karaaslan Kamping Tesisleri;Servetiye Cami Köyü Yuvacık Baraj Sonu 8.km alartı mevkii, Başiskele;41090;Kazandere;tr;-759133;0;EUR;70;;;5;1;http://www.mishoteles.com/hotel/tr/karaaslan-kamping-tesisleri.html;kazandere;Kazandere;1;1;;;;;;;;;;;;;;;;;
1968375;Apartments Bud kak Doma at Kalinina 18;Kalinina 18;454084;Chelyabinsk;ru;-2896749;0;RUB;1298;;;1;1;http://www.mishoteles.com/hotel/ru/apartment-na-kalinina-18.html;chelyabinsk;Chelyabinsk;1;1;;;;;;;;;;;;;;;;;
1942613;Casa Falco Della Regina;Val di Chiesa, snc;98050;Filicudi;it;900050414;0;EUR;84;;;2;1;http://www.mishoteles.com/hotel/it/casa-falco-della-regina.html;filicudi;Filicudi;1;1;;;;;;;;;;;;;;;;;
1997260;Apartment on Tbel-Abuseridze 38;Tbel-Abuseridze Street 38;6000;Batumi;ge;900049585;0;GEL;;;;1;1;http://www.mishoteles.com/hotel/ge/apartment-on-tbel-abuseridze-street-21.html;batumi-ge;Batumi;1;1;;;;;;;;;;;;;;;;;
1987700;Villa Margherita;Via la Maddalena 5;90015;Cefalù;it;-114960;0;EUR;;;;1;1;http://www.mishoteles.com/hotel/it/villa-margherita-cefalu1.html;cefalu;Cefalù;1;1;;;;;;;;;;;;;;;;;
1981293;Guest House on ul Lermontova;Ул. Лермонтова дом 1;348870;Gagra;xa;900050959;0;RUB;;;;2;1;http://www.mishoteles.com/hotel/xa/guest-house-on-ul-lermontova.html;gagra;Gagra;1;1;;;;;;;;;;;;;;;;;
1969230;La Mesteceni;Principala nr. 86;407236;Sălicea;ro;-1169329;0;EUR;23.1;;;10;1;http://www.mishoteles.com/hotel/ro/la-mesteceni.html;salicea;Sălicea;1;1;;;;;;;;;;;;;;;;;
1961928;Op de Pley;Kosterstraat 1 bus 1.3;3798;Voeren;be;-1958354;0;EUR;90;;;2;1;http://www.mishoteles.com/hotel/be/op-de-pley.html;s-gravenvoeren;Voeren;1;1;;;;;;;;;;;;;;;;;
1987317;Historisches Ferienhaus Veste Dilsberg;Obere Straße 6;69151;Neckargemünd;de;-1830095;0;EUR;64;;;1;1;http://www.mishoteles.com/hotel/de/historisches-ferienhaus-veste-dilsberg.html;neckargemund;Neckargemünd;1;1;;;;;;;;;;;;;;;;;
1996894;I Bronzi di Riace;Contrada Pipedo snc;89040;Riace Marina;it;-126281;0;EUR;20;;;1;1;http://www.mishoteles.com/hotel/it/i-bronzi-di-riace.html;riace-marina;Riace Marina;1;1;;;;;;;;;;;;;;;;;
2000968;Studio Klaipeda - Apartment;Liepojos g. 216 - 9;LT-92330;Klaipėda;lt;-2615647;0;EUR;21.25;;;2;1;http://www.mishoteles.com/hotel/lt/studio-klaipeda-apartment.html;klaipeda;Klaipėda;1;1;;;;;;;;;;;;;;;;;
1929602;Aguaviva;45 Calle el Jable appartement 214;38678;Callao Salvaje;es;900040267;0;EUR;;;;1;1;http://www.mishoteles.com/hotel/es/aguaviva.html;callao-salvaje;Callao Salvaje;1;1;;;;;;;;;;;;;;;;;
2012636;Black Swan Place;Grójecka 194;02-390;Warsaw;pl;-534433;0;PLN;299;;;1;1;http://www.mishoteles.com/hotel/pl/black-swan-place.html;warsaw;Warsaw;1;1;;;;;;;;;;;;;;;;;
1944836;Hospedagem Casa do Largo;Largo do Santo, 10;9200-152;Santo da Serra;pt;-2175631;0;EUR;30;;;3;1;http://www.mishoteles.com/hotel/pt/hospedagem-casa-do-largo.html;santo-da-serra;Santo da Serra;1;1;;;;;;;;;;;;;;;;;
1950162;Brussels House City;Kiekenmarkt 39C;1000;Brussels;be;-1955538;0;EUR;171.5;;;1;1;http://www.mishoteles.com/hotel/be/brussels-house-city-brussels.html;brussels;Brussels;1;1;;;;;;;;;;;;;;;;;
2032949;Holiday home Het Roefje;;1861VA;Bergen;nl;-2141120;0;EUR;111.6666666667;;;1;1;http://www.mishoteles.com/hotel/nl/holiday-home-het-roefje.html;bergen;Bergen;1;1;;;;;;;;;;;;;;;;;
1962567;Monolocale Moderno Veronese;Via Riccardo Lombardi, 29;7026;Olbia;it;-123255;0;EUR;100;;;1;1;http://www.mishoteles.com/hotel/it/monolocale-moderno-veronese.html;olbia;Olbia;1;1;;;;;;;;;;;;;;;;;
1929982;Chalet Zilt Ameland;42 Oosterhiemweg;9161 CZ;Hollum;nl;-2146398;0;EUR;100;;;1;1;http://www.mishoteles.com/hotel/nl/chalet-zilt-ameland.html;hollum;Hollum;1;1;;;;;;;;;;;;;;;;;
